Age,Money,Credit_level,Grade
71,460900000,2,3
33,2300000,6,2
73,38100000,5,1
48,632700000,8,3
47,1500000,7,1
35,35700000,4,2
74,21300000,5,1
77,13300000,7,1
35,500000,2,3
46,6100000,2,2
66,271800000,5,2
53,401500000,2,3
35,30000000,3,2
29,423600000,4,3
22,48600000,2,3
47,5200000,6,1
31,40700000,7,2
36,20400000,6,2
45,184500000,6,2
68,34400000,6,1
69,17500000,1,3
78,45300000,6,1
77,247800000,7,2
74,688900000,7,3
42,14400000,7,2
72,45400000,3,2
53,6500000,5,1
75,39500000,1,3
63,20000000,2,2
69,46900000,7,1
45,292000000,4,2
32,12100000,5,2
66,151600000,2,2
40,13900000,1,3
69,34200000,1,3
36,18600000,7,2
64,47300000,5,1
80,21700000,2,2
29,499700000,5,3
30,8700000,5,2
43,603700000,4,3
27,29500000,3,3
31,42000000,8,2
50,293800000,7,2
75,12500000,5,1
64,11500000,8,1
71,27300000,1,3
77,19700000,1,3
50,13300000,1,3
56,611400000,8,3
63,505100000,5,3
66,46300000,2,2
77,6100000,5,1
50,689900000,3,3
37,15900000,8,2
41,13900000,1,3
39,588500000,4,3
29,47200000,3,3
34,21100000,8,2
47,47300000,2,2
49,42500000,3,2
56,89300000,2,2
71,889600000,3,3
27,30700000,8,2
79,829700000,3,3
70,47100000,2,2
29,47000000,3,3
77,956500000,4,3
72,32400000,6,1
62,237400000,2,3
71,30400000,6,1
54,32400000,4,2
56,7700000,1,3
26,31600000,6,2
21,15600000,8,3
78,10500000,4,1
57,18100000,3,2
42,3700000,6,2
71,270600000,1,3
58,3300000,2,2
52,45400000,5,2
58,21000000,2,2
53,578900000,3,3
46,8600000,5,2
36,9500000,5,2
67,49400000,3,2
53,2600000,1,3
65,746400000,1,5
41,26800000,3,2
38,252000000,3,3
59,42100000,4,2
26,7100000,3,3
21,513300000,5,4
43,20900000,2,2
28,9400000,8,2
44,38700000,4,2
65,27800000,3,2
35,36800000,4,2
47,363600000,2,3
80,1400000,3,1
42,13700000,3,2
31,36800000,2,3
29,33400000,1,4
45,33500000,1,3
46,43300000,5,2
45,13000000,2,2
61,841500000,4,3
67,15000000,4,1
80,507200000,5,2
76,1500000,6,1
45,25900000,7,2
77,774000000,1,5
23,49800000,5,3
67,25700000,7,1
67,46200000,1,3
31,5900000,8,2
70,41500000,5,1
63,820100000,1,5
41,991100000,6,4
64,19900000,2,2
28,27900000,4,2
55,3600000,5,1
46,45400000,3,2
39,21600000,2,3
43,602000000,1,5
63,17400000,3,2
34,23200000,3,2
77,928400000,8,3
34,2200000,6,2
26,26200000,6,2
68,909300000,1,5
80,36800000,4,1
62,17600000,5,1
60,8200000,2,2
30,4100000,3,3
48,44800000,8,1
74,48400000,6,1
73,42900000,5,1
36,31200000,7,2
26,2700000,8,2
38,38000000,8,2
33,35700000,8,2
73,25100000,7,1
37,17300000,4,2
30,13900000,6,2
67,13300000,5,1
61,31200000,2,2
40,340400000,5,3
61,34400000,5,1
49,3200000,7,1
36,5000000,6,2
33,652700000,7,3
45,13800000,5,2
25,351400000,3,3
27,4100000,4,2
80,422200000,3,3
50,39000000,2,2
59,9900000,2,2
70,150800000,5,2
34,12800000,4,2
37,24300000,1,3
42,29500000,7,2
26,25900000,4,3
50,24400000,6,1
20,9100000,1,5
57,28100000,7,1
40,432800000,1,4
54,16800000,8,1
72,5800000,7,1
80,33700000,2,2
37,370200000,4,3
67,43500000,7,1
77,793500000,3,3
54,422200000,2,3
51,599600000,4,3
48,8800000,6,1
74,32700000,3,2
51,500000,6,1
22,650900000,4,4
56,15500000,3,2
21,777500000,6,4
78,423800000,4,2
23,40000000,3,3
22,407500000,3,4
62,34300000,1,3
64,337200000,4,2
54,49700000,1,3
36,43700000,2,3
39,400000,8,2
47,577300000,6,3
38,34800000,3,2
22,791400000,2,5
64,27700000,5,1
74,22500000,6,1
55,10600000,1,3
25,285800000,4,3
65,11400000,6,1
80,506300000,8,2
21,802300000,2,5
22,18500000,4,3
58,896300000,2,4
64,9500000,1,3
62,14300000,6,1
70,46300000,8,1
41,581400000,5,3
23,45300000,6,3
33,8100000,3,2
43,24700000,5,2
71,32200000,8,1
74,30800000,6,1
57,364500000,8,2
43,31400000,2,2
69,12400000,6,1
67,124900000,8,1
78,18100000,3,2
51,27800000,7,1
45,44900000,2,2
21,40200000,6,3
31,45200000,8,2
54,21800000,7,1
28,41600000,2,3
74,41700000,3,2
70,5700000,1,3
78,45400000,4,1
47,15900000,6,2
72,14500000,4,1
21,16200000,5,3
76,30000000,8,1
22,48500000,4,3
72,21000000,3,2
75,27700000,8,1
24,10700000,2,3
21,40600000,5,3
44,32300000,5,2
67,299200000,5,2
57,13400000,7,1
29,9600000,8,2
35,8700000,8,2
72,387500000,7,2
26,826400000,7,4
39,34200000,2,3
21,4400000,8,3
71,12200000,6,1
49,2000000,6,1
71,43000000,6,1
35,13800000,1,3
32,215900000,5,3
21,13100000,1,4
26,20100000,3,3
35,33700000,5,2
46,12200000,8,1
68,48000000,6,1
28,21300000,3,3
28,31200000,3,3
59,6500000,5,1
23,17900000,4,3
74,24900000,4,1
34,25800000,4,2
31,30700000,6,2
22,45100000,3,3
48,7300000,8,1
38,20700000,1,3
66,35700000,3,2
69,314000000,3,2
47,11300000,4,2
36,359500000,1,4
68,8900000,5,1
25,14700000,1,4
30,26300000,8,2
35,34000000,1,4
23,6300000,1,4
24,34400000,3,3
79,13500000,4,1
45,2100000,1,3
27,41800000,2,3
63,1000000,8,1
51,49800000,8,1
32,47900000,2,3
77,867600000,7,3
54,43700000,3,2
53,22700000,8,1
70,37300000,1,3
30,11100000,7,2
29,33400000,7,2
28,319400000,5,3
38,37400000,8,2
53,23400000,8,1
38,13900000,5,2
32,43500000,2,3
53,200000,5,1
50,975400000,8,3
40,24800000,2,3
35,12500000,6,2
35,209600000,7,2
63,31200000,1,3
69,19900000,4,1
48,21500000,5,2
59,23200000,3,2
60,501100000,4,3
39,262600000,3,3
62,38600000,8,1
64,335900000,6,2
53,49800000,5,2
55,38500000,1,3
37,20300000,6,2
76,32400000,7,1
68,833300000,3,3
59,43200000,4,2
43,11400000,6,2
65,15200000,8,1
52,14600000,7,1
41,26500000,1,3
33,32900000,7,2
35,8700000,6,2
25,16400000,1,4
46,612900000,6,3
69,20700000,8,1
35,38800000,5,2
74,4200000,3,2
30,13000000,5,2
55,43400000,3,2
39,25200000,5,2
34,57500000,2,3
50,73200000,3,2
36,958900000,3,4
76,400800000,3,2
58,29600000,6,1
44,40700000,7,2
52,29700000,3,2
69,29000000,2,2
63,23400000,2,2
50,5900000,5,2
27,2600000,6,2
33,59000000,7,2
55,32100000,8,1
65,11100000,2,2
80,38900000,5,1
70,21500000,5,1
20,679300000,6,4
74,19700000,6,1
31,29000000,7,2
21,8800000,5,3
30,39400000,7,2
48,42500000,6,2
74,38600000,6,1
49,473600000,3,3
41,20700000,4,2
67,7000000,1,3
24,48700000,7,3
35,7300000,4,2
53,100000,7,1
24,3000000,2,3
40,44800000,5,2
38,36600000,1,3
71,22100000,1,3
33,580100000,1,5
58,228800000,4,2
24,39000000,4,3
27,875100000,1,6
36,14600000,7,2
39,28900000,1,3
33,19300000,5,2
47,24100000,1,3
56,20500000,2,2
58,299300000,1,4
36,551600000,2,4
53,39900000,2,2
62,533900000,3,3
26,31800000,4,3
79,3300000,8,1
78,27600000,6,1
36,11800000,8,2
44,239000000,6,2
26,9600000,8,2
31,9100000,5,2
59,568700000,8,3
46,28800000,7,2
73,39000000,6,1
28,20900000,2,3
54,23000000,6,1
47,35200000,2,2
42,44100000,4,2
49,17100000,4,2
29,1500000,4,2
30,7300000,5,2
25,259200000,2,3
62,590900000,6,3
34,18600000,8,2
31,44000000,6,2
47,43100000,3,2
38,15800000,4,2
77,31900000,4,1
75,11500000,1,3
23,402000000,7,3
46,426700000,8,2
25,13300000,7,2
60,12100000,8,1
80,24400000,2,2
20,21300000,5,3
48,773800000,7,3
22,7900000,3,3
77,33300000,3,2
20,17200000,8,3
72,9300000,3,2
40,41300000,6,2
55,743100000,1,5
53,26400000,7,1
38,730900000,8,3
77,905500000,5,3
21,5000000,7,3
60,28400000,1,3
36,335100000,5,3
72,25900000,1,3
33,400000,4,2
77,49400000,1,3
51,99400000,8,2
60,778000000,8,3
64,575400000,8,3
66,649200000,2,3
47,5100000,6,1
25,26600000,6,2
20,17700000,1,5
51,756500000,6,3
69,46600000,7,1
46,26100000,1,3
67,30800000,4,1
44,207100000,4,2
22,7900000,1,4
38,509800000,5,3
51,4300000,5,1
30,44100000,8,2
21,31100000,6,3
28,38300000,3,3
71,1500000,5,1
69,6900000,6,1
28,18900000,8,2
58,46200000,5,1
40,427100000,8,3
57,6700000,2,2
72,445800000,4,2
24,26400000,6,3
42,621300000,5,3
